facility_id,drg_code,total_discharges,avg_submitted_charges,avg_total_payment,avg_medicare_payment,state,state_drg_avg,pct_of_state_avg
390267,291,145,41409.551724,9842.4896552,7556.1517241,PA,10766.296942910258,91.4194519006036
390268,291,142,31603.633803,11314.795775,9728.2746479,PA,10766.296942910258,105.09459134369257
390270,291,257,76428.840467,11271.914397,8739.9727626,PA,10766.296942910258,104.69629861382094
390304,291,39,46160.410256,13881.153846,9687.2051282,PA,10766.296942910258,128.9315529713391
390326,291,259,82389.312741,13645.698842,9966.5907336,PA,10766.296942910258,126.74458928968949
390328,291,85,48899.541176,8985.9411765,7124.4470588,PA,10766.296942910258,83.4636200742852
390329,291,200,42499.83,11265.425,9090.315,PA,10766.296942910258,104.6360235068421
390330,291,173,83610.346821,9544.5722543,8123.6820809,PA,10766.296942910258,88.65232219500709
390332,291,148,44652.871622,8249.5202703,7114.4459459,PA,10766.296942910258,76.62356253077724
390334,291,65,44039.169231,10471.569231,6997.9538462,PA,10766.296942910258,97.26249690610345
390335,291,97,62155.876289,9493.8350515,6413.1649485,PA,10766.296942910258,88.18106264245118
390336,291,68,39318.882353,15696.588235,6622.0588235,PA,10766.296942910258,145.79375172571662
390337,291,22,21637.727273,10173.136364,6023.2727273,PA,10766.296942910258,94.4905794252604
390338,291,17,43929.058824,10298.882353,5203.0,PA,10766.296942910258,95.65853893507874
390339,291,63,44390.031746,8921.7460317,6408.6507937,PA,10766.296942910258,82.86735986392316
410004,291,25,39389.52,13180.12,10894.72,RI,11356.592882066667,116.05699118450295
410005,291,51,29890.196078,9955.4117647,8857.3921569,RI,11356.592882066667,87.66195872373581
410006,291,88,26122.238636,9848.9659091,8557.0909091,RI,11356.592882066667,86.72465422840526
410007,291,200,45885.96,14948.2,11576.685,RI,11356.592882066667,131.62574510885995
410008,291,88,29376.306818,9317.7272727,8101.0113636,RI,11356.592882066667,82.04685480461077
410009,291,216,30266.388889,12243.342593,10019.986111,RI,11356.592882066667,107.80823720760131
410011,291,53,37607.830189,11280.509434,9766.9811321,RI,11356.592882066667,99.33005040458207
410012,291,255,35057.360784,11523.552941,9779.5098039,RI,11356.592882066667,101.47015976241414
410013,291,83,37110.831325,9911.5060241,8581.8554217,RI,11356.592882066667,87.27534857528774
420002,291,203,70695.20197,8358.4729064,7094.270936,SC,10059.921420410637,83.08686079238595
420004,291,208,38498.639423,17217.110577,11200.764423,SC,10059.921420410637,171.1455771619458
420005,291,29,35827.344828,11227.172414,9262.862069,SC,10059.921420410637,111.60298321238493
420007,291,283,37256.840989,11185.572438,9366.6042403,SC,10059.921420410637,111.189461334216
420009,291,131,35463.053435,10527.70229,9150.7022901,SC,10059.921420410637,104.64994556160528
420010,291,37,55707.540541,10415.756757,7911.5405405,SC,10059.921420410637,103.53715821146878
420015,291,82,33411.878049,9359.0,7413.902439,SC,10059.921420410637,93.03253583086114
420018,291,228,36605.635965,12210.557018,9977.9210526,SC,10059.921420410637,121.37825443870689
420020,291,61,25237.04918,9838.4590164,8522.4098361,SC,10059.921420410637,97.79856725758006
420023,291,225,51327.648889,9435.4355556,7361.4088889,SC,10059.921420410637,93.7923385410982
420026,291,102,30560.058824,7979.6862745,6928.6666667,SC,10059.921420410637,79.32155671027374
420027,291,221,52800.972851,10666.954751,9178.8914027,SC,10059.921420410637,106.03417566818909
420030,291,39,47106.487179,9804.4358974,8818.2051282,SC,10059.921420410637,97.46036263770131
420033,291,94,34743.56383,11973.712766,9158.4680851,SC,10059.921420410637,119.0239194285003
420036,291,38,75282.315789,9583.8684211,8679.7631579,SC,10059.921420410637,95.26782586646482
420037,291,72,31957.125,7635.2361111,5976.5972222,SC,10059.921420410637,75.89757207853354
420038,291,54,37727.851852,10761.666667,9421.2777778,SC,10059.921420410637,106.97565336013048
420043,291,16,34289.25,9733.25,8633.25,SC,10059.921420410637,96.75274381619073
420048,291,53,39045.169811,9365.490566,8339.0754717,SC,10059.921420410637,93.09705488353318
420049,291,119,39693.689076,9758.3697479,8246.9915966,SC,10059.921420410637,97.00244504993034
420051,291,339,42739.253687,10094.855457,8398.5486726,SC,10059.921420410637,100.34725953742027
420053,291,11,22166.545455,11564.727273,10546.545455,SC,10059.921420410637,114.95842551549411
420055,291,26,32212.846154,9464.7692308,8418.6153846,SC,10059.921420410637,94.08392804735901
420065,291,95,38138.631579,9927.4105263,8655.5263158,SC,10059.921420410637,98.68278400423898
420067,291,131,23102.679389,10277.633588,9217.2442748,SC,10059.921420410637,102.16415375916998
420068,291,11,24564.545455,9973.3636364,8955.1818182,,,
420070,291,191,34121.507853,9472.7329843,7639.7591623,SC,10059.921420410637,94.16309122535206
420071,291,134,44662.067164,15107.104478,11308.492537,SC,10059.921420410637,150.1711976333046
420072,291,11,22236.909091,10921.090909,10004.181818,SC,10059.921420410637,108.56039975463557
420073,291,444,52315.772523,9379.4774775,7842.5900901,SC,10059.921420410637,93.23609087512274
420078,291,260,38530.588462,12613.076923,9547.3461538,SC,10059.921420410637,125.37947759123892
420079,291,173,78131.739884,9744.6069364,8289.7109827,SC,10059.921420410637,96.86563670993597
420080,291,106,50702.254717,11992.028302,10845.273585,SC,10059.921420410637,119.20598383272953
420082,291,115,53983.765217,9002.1478261,7943.9217391,SC,10059.921420410637,89.48526981369342
420085,291,267,65039.726592,9882.8876404,8630.17603,SC,10059.921420410637,98.24020712874106
420086,291,56,41698.107143,9409.8035714,8226.0357143,SC,10059.921420410637,93.53754545545844
420087,291,248,34548.189516,8100.8629032,6964.5362903,SC,10059.921420410637,80.52610517179696
420089,291,24,58117.333333,7494.9166667,6496.7916667,SC,10059.921420410637,74.502735692284
420091,291,193,60805.212435,8622.2331606,7488.1709845,SC,10059.921420410637,85.70875258634027
420098,291,137,27180.343066,9284.7080292,7711.0072993,SC,10059.921420410637,92.2940412870641
420101,291,38,54018.342105,8999.2894737,7668.4473684,SC,10059.921420410637,89.45685654602914
420103,291,46,42103.782609,7653.0217391,6574.7608696,SC,10059.921420410637,76.07436896646863
420104,291,73,27109.986301,7632.6712329,6558.6986301,SC,10059.921420410637,75.87207607222484
420105,291,241,38113.647303,8600.9377593,7547.2738589,SC,10059.921420410637,85.49706702330204
420106,291,87,33646.666667,9229.137931,8074.5172414,SC,10059.921420410637,91.74165031025932
420107,291,42,34200.5,10782.238095,9034.2857143,SC,10059.921420410637,107.18014231327741
420109,291,34,32978.941176,12364.676471,10828.205882,SC,10059.921420410637,122.91026892032409
420110,291,60,25932.4,8159.35,6629.45,SC,10059.921420410637,81.10749238503439
430005,291,44,19212.954545,10273.409091,9146.1363636,SD,10552.132552881818,97.35860537682785
430008,291,43,21426.069767,8589.3255814,7697.3255814,SD,10552.132552881818,81.39895455591326
430012,291,53,41759.150943,11258.320755,9245.5849057,SD,10552.132552881818,106.69237425306339
430014,291,45,43353.422222,8929.2444444,8114.3333333,SD,10552.132552881818,84.6202831479917
430015,291,23,36504.652174,10884.913043,9841.4347826,SD,10552.132552881818,103.15367996422012
430016,291,193,54762.512953,11162.746114,8673.7927461,SD,10552.132552881818,105.78663656903574
430027,291,250,44491.324,10824.52,8948.504,SD,10552.132552881818,102.58134974852825
430048,291,15,29702.533333,12911.533333,11631.533333,SD,10552.132552881818,122.35946874524262
430077,291,249,46337.212851,12887.084337,10583.702811,SD,10552.132552881818,122.1277715420709
430095,291,73,38240.150685,8544.1232877,7073.8082192,SD,10552.132552881818,80.97058338569273
430097,291,21,21901.238095,9808.2380952,9122.5238095,SD,10552.132552881818,92.95029271141351
440002,291,341,37810.639296,9190.3049853,7952.4017595,TN,9680.658074015624,94.93471327086938
440003,291,107,66396.785047,8726.6261682,7510.7383178,TN,9680.658074015624,90.14496846679883
440006,291,73,74544.684932,10167.780822,8495.4109589,TN,9680.658074015624,105.03191770910585
440009,291,120,25312.266667,8842.3833333,7795.7166667,TN,9680.658074015624,91.34072565825167
440010,291,14,23969.5,9336.5714286,8536.5714286,,,
440011,291,60,32422.466667,8753.85,7563.0333333,TN,9680.658074015624,90.42618728055979
440012,291,155,37968.374194,9344.7354839,7081.5290323,TN,9680.658074015624,96.52996121185922
440015,291,244,25226.516393,12451.504098,8794.9303279,TN,9680.658074015624,128.62249655756102
440016,291,32,21007.3125,9517.53125,8468.90625,TN,9680.658074015624,98.314920093568
440017,291,133,48655.954887,9980.1052632,7541.6015038,TN,9680.658074015624,103.09325241006226
440018,291,26,29340.115385,7835.6923077,6729.6923077,TN,9680.658074015624,80.9417319338259
440020,291,14,50606.0,10686.071429,9771.7857143,TN,9680.658074015624,110.38579554506795
440029,291,139,20867.913669,7682.5899281,6315.5827338,TN,9680.658074015624,79.36020329776188
440030,291,53,22004.660377,8104.8867925,6452.1509434,TN,9680.658074015624,83.72247765112955
440031,291,46,16518.456522,9127.6086957,7782.826087,TN,9680.658074015624,94.28706835746948
440033,291,13,53794.615385,10849.923077,9868.6923077,TN,9680.658074015624,112.07836279356734
440034,291,127,22758.055118,8420.5590551,7059.8818898,TN,9680.658074015624,86.98333306185121
