hospital_name,city,state,star_rating,drg_description,hospital_price,national_avg_price,total_savings
"NORTHSHORE UNIVERSITY HEALTHSYSTEM - EVANSTON HOSPITAL",EVANSTON,IL,5,"CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION",75097.461538,77340.79,2243.33
"ST VINCENT HEART CENTER",CARMEL,IN,5,"ATHEROSCLEROSIS WITHOUT MCC",4486.2727273,6728.1,2241.83
"FAIRVIEW HOSPITAL",CLEVELAND,OH,5,"OTHER CIRCULATORY SYSTEM DIAGNOSES WITH CC",7444.8,9686.01,2241.21
"Adventhealth Zephyrhills",ZEPHYRHILLS,FL,5,"BRONCHITIS AND ASTHMA WITH CC/MCC",6834.4545455,9075.1,2240.65
"LANCASTER GENERAL HOSPITAL",LANCASTER,PA,5,"RENAL FAILURE WITH MCC",10983.363636,13222.39,2239.03
"INTERMOUNTAIN HEALTH UTAH VALLEY HOSPITAL",PROVO,UT,5,"GASTROINTESTINAL OBSTRUCTION WITH MCC",11585.785714,13824.8,2239.02
"NS/LIJ HS HUNTINGTON HOSPITAL",HUNTINGTON,NY,5,"HEADACHES WITHOUT MCC",6743.0833333,8981.59,2238.51
"PARDEE HOSPITAL HENDERSON COUNTY",HENDERSONVILLE,NC,5,"OTHER DIGESTIVE SYSTEM DIAGNOSES WITH CC",6704.3684211,8942.6,2238.23
"AURORA MEDICAL CENTER SHEBOYGAN COUNTY",SHEBOYGAN,WI,5,"PULMONARY EDEMA AND RESPIRATORY FAILURE",9182.9130435,11421.02,2238.11
"REX HOSPITAL",RALEIGH,NC,5,"DISORDERS OF THE BILIARY TRACT WITH CC",8186.0909091,10423.99,2237.9
"VIERA HOSPITAL",MELBOURNE,FL,5,DYSEQUILIBRIUM,4794.4375,7031.69,2237.25
"MOUNTAIN VIEW HOSPITAL",PAYSON,UT,5,"HEART FAILURE AND SHOCK WITH MCC",9311.2941176,11548.46,2237.17
"ST LUKE'S HOSPITAL - GRAND VIEW CAMPUS",SELLERSVILLE,PA,5,"RED BLOOD CELL DISORDERS WITHOUT MCC",6406.047619,8642.92,2236.87
"PAOLI HOSPITAL",PAOLI,PA,5,"DISORDERS OF THE BILIARY TRACT WITH CC",8188.6428571,10423.99,2235.35
"BAYLOR SCOTT & WHITE MEDICAL CENTER  GRAPEVINE",GRAPEVINE,TX,5,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH CC",6240.75,8475.85,2235.1
"SAINT LUKE'S SOUTH HOSPITAL","OVERLAND PARK",KS,5,"GASTROINTESTINAL HEMORRHAGE WITH CC",6691.5,8924.72,2233.22
"WELLSPAN EVANGELICAL COMMUNITY HOSPITAL",LEWISBURG,PA,5,"CIRCULATORY DISORDERS EXCEPT AMI, WITH CARDIAC CATHETERIZATION WITHOUT MCC",7698.6428571,9931.77,2233.12
"ST LUKE'S HOSPITAL - GRAND VIEW CAMPUS",SELLERSVILLE,PA,5,"OTHER DIGESTIVE SYSTEM DIAGNOSES WITH CC",6709.9411765,8942.6,2232.66
"PARDEE HOSPITAL HENDERSON COUNTY",HENDERSONVILLE,NC,5,"CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH MCC",8475.7272727,10708.08,2232.35
"NORTHSHORE UNIVERSITY HEALTHSYSTEM - EVANSTON HOSPITAL",EVANSTON,IL,5,"MAJOR CHEST PROCEDURES WITH CC",21493.96875,23725.69,2231.73
"NORTHWESTERN MEDICINE DELNOR COMMUNITY HOSPITAL",GENEVA,IL,5,"ALCOHOL, DRUG ABUSE OR DEPENDENCE WITHOUT REHABILITATION THERAPY WITHOUT MCC",6583.2727273,8814.57,2231.29
"ST ELIZABETH DEARBORN HOSPITAL",LAWRENCEBURG,IN,5,"ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITHOUT MCC",5270.2903226,7499.89,2229.6
"ADVENTHEALTH FISH MEMORIAL","ORANGE CITY",FL,5,"GASTROINTESTINAL OBSTRUCTION WITH CC",5255,7484.42,2229.42
"NORTHEAST GEORGIA MEDICAL CENTER LUMPKIN",DAHLONEGA,GA,5,"SIMPLE PNEUMONIA AND PLEURISY WITH MCC",9297.875,11526.67,2228.79
"KANSAS HEART HOSPITAL",WICHITA,KS,5,"CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH CC",4725,6953.49,2228.49
"PARDEE HOSPITAL HENDERSON COUNTY",HENDERSONVILLE,NC,5,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH CC",6247.4347826,8475.85,2228.41
"UCHICAGO MEDICINE ADVENTHEALTH LA GRANGE","LA GRANGE",IL,5,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH MCC",12013.555556,14240.94,2227.39
"MAYO CLINIC",JACKSONVILLE,FL,5,"OTHER DIGESTIVE SYSTEM O.R. PROCEDURES WITH MCC",39900.466667,42127.74,2227.27
"OKLAHOMA HEART HOSPITAL, LLC","OKLAHOMA CITY",OK,5,"CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH CC",4726.2903226,6953.49,2227.2
"NEWTON-WELLESLEY HOSPITAL",NEWTON,MA,5,"MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS WITH MCC",15307.615385,17534.53,2226.91
"Adventhealth Zephyrhills",ZEPHYRHILLS,FL,5,"SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITHOUT MCC",7295.2727273,9522.15,2226.88
"REX HOSPITAL",RALEIGH,NC,5,"RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT <=96 HOURS",21905.407407,24132.25,2226.84
"JOHNSON MEMORIAL HOSPITAL",FRANKLIN,IN,5,"SIMPLE PNEUMONIA AND PLEURISY WITH MCC",9300.2941176,11526.67,2226.38
"REX HOSPITAL",RALEIGH,NC,5,"INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS",7258.5394737,9482.39,2223.85
"LANCASTER GENERAL HOSPITAL",LANCASTER,PA,5,"CELLULITIS WITH MCC",10672.833333,12896.36,2223.53
"BAPTIST HEALTH PADUCAH",PADUCAH,KY,5,"KIDNEY AND URINARY TRACT INFECTIONS WITHOUT MCC",5258.3076923,7480.78,2222.47
"HOUSTON METHODIST CLEAR LAKE HOSPITAL","NASSAU BAY",TX,5,"HEART FAILURE AND SHOCK WITH MCC",9326.9534884,11548.46,2221.51
"MEDINA HOSPITAL",MEDINA,OH,5,"ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITHOUT MCC",5278.4285714,7499.89,2221.46
"UNIVERSITY OF KANSAS HOSPITAL","KANSAS CITY",KS,5,"EXTENSIVE O.R. PROCEDURES UNRELATED TO PRINCIPAL DIAGNOSIS WITH CC",21450.214286,23671.59,2221.37
"CLEVELAND CLINIC",CLEVELAND,OH,5,"INFLAMMATORY BOWEL DISEASE WITH MCC",19541,21762.36,2221.36
"WAUKESHA MEMORIAL HOSPITAL",WAUKESHA,WI,5,"FRACTURES OF HIP AND PELVIS WITHOUT MCC",4907.2857143,7127.65,2220.37
"LONE PEAK HOSPITAL",DRAPER,UT,5,"SIMPLE PNEUMONIA AND PLEURISY WITH MCC",9306.3636364,11526.67,2220.31
"INOVA LOUDOUN HOSPITAL",LEESBURG,VA,5,"OTHER DISORDERS OF NERVOUS SYSTEM WITH CC",7670.0909091,9890,2219.91
"UCHEALTH HIGHLANDS RANCH HOSPITAL","HIGHLANDS RANCH",CO,5,"OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH CC",7337.5833333,9556.87,2219.29
"CHI HEALTH LAKESIDE",OMAHA,NE,5,"MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM, FLUIDS AND ELECTROLYTES WITHOUT MCC",5107.2857143,7325.93,2218.64
"BAPTIST HEALTH PADUCAH",PADUCAH,KY,5,"EXTRACRANIAL PROCEDURES WITHOUT CC/MCC",7962.2758621,10180.77,2218.5
"SAINT FRANCIS HOSPITAL SOUTH, LLC",TULSA,OK,5,"RED BLOOD CELL DISORDERS WITHOUT MCC",6425.0714286,8642.92,2217.84
"EAST COOPER MEDICAL CENTER","MOUNT PLEASANT",SC,5,"MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM, FLUIDS AND ELECTROLYTES WITHOUT MCC",5108.9090909,7325.93,2217.02
"HOLLAND COMMUNITY HOSPITAL",HOLLAND,MI,5,"RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC",7765.625,9981.57,2215.94
"ST ELIZABETH DEARBORN HOSPITAL",LAWRENCEBURG,IN,5,"KIDNEY AND URINARY TRACT INFECTIONS WITHOUT MCC",5265.6785714,7480.78,2215.1
"PARDEE HOSPITAL HENDERSON COUNTY",HENDERSONVILLE,NC,5,"DIABETES WITH MCC",10841,13056.04,2215.04
"VIRGINIA HOSPITAL CENTER",ARLINGTON,VA,5,"DEGENERATIVE NERVOUS SYSTEM DISORDERS WITHOUT MCC",10254.235294,12469.26,2215.02
"HENDRICKS REGIONAL HEALTH",DANVILLE,IN,5,"MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM, FLUIDS AND ELECTROLYTES WITH MCC",9558.5384615,11773.26,2214.72
"REX HOSPITAL",RALEIGH,NC,5,"KIDNEY AND URINARY TRACT INFECTIONS WITH MCC",7919.1219512,10133.32,2214.2
"CALVERTHEALTH MEDICAL CENTER","PRINCE FREDERICK",MD,5,"INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC",15223.837838,17437.18,2213.34
"BAYLOR SCOTT & WHITE MEDICAL CENTER- WAXAHACHIE",WAXAHACHIE,TX,5,"HIP REPLACEMENT WITH PRINCIPAL DIAGNOSIS OF HIP FRACTURE WITHOUT MCC",15804.32,18015.32,2211
"RIDGEVIEW MEDICAL CENTER",WACONIA,MN,5,"SIMPLE PNEUMONIA AND PLEURISY WITH MCC",9316.6923077,11526.67,2209.98
"BRIGHAM AND WOMEN FAULKNER HOSPITAL","JAMAICA PLAIN",MA,5,"ALCOHOL, DRUG ABUSE OR DEPENDENCE WITHOUT REHABILITATION THERAPY WITH MCC",15733.823529,17942.92,2209.1
"TEXAS HEALTH PRESBYTERIAN HOSPITAL DENTON",DENTON,TX,5,"NONSPECIFIC CEREBROVASCULAR DISORDERS WITH MCC",13700.933333,15909.82,2208.88
"AURORA MEDICAL CENTER - SUMMIT",SUMMIT,WI,5,"MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM, FLUIDS AND ELECTROLYTES WITHOUT MCC",5117.5882353,7325.93,2208.34
"UCHEALTH HIGHLANDS RANCH HOSPITAL","HIGHLANDS RANCH",CO,5,"CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH MCC",8499.7777778,10708.08,2208.3
"MASSACHUSETTS GENERAL HOSPITAL",BOSTON,MA,5,"LYMPHOMA AND NON-ACUTE LEUKEMIA WITH OTHER PROCEDURES WITH CC",27343.5,29551.14,2207.64
"HOUSTON METHODIST THE WOODLANDS HOSPITAL","THE WOODLANDS",TX,5,"CAROTID ARTERY STENT PROCEDURES WITHOUT CC/MCC",13237.909091,15443.97,2206.06
"LANCASTER GENERAL HOSPITAL",LANCASTER,PA,5,"RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC",13781.869748,15986.29,2204.42
"UCHEALTH HIGHLANDS RANCH HOSPITAL","HIGHLANDS RANCH",CO,5,"RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC",13782,15986.29,2204.29
"SCRIPPS MEMORIAL HOSPITAL - ENCINITAS",ENCINITAS,CA,5,"ORGANIC DISTURBANCES AND INTELLECTUAL DISABILITY",12644.76,14848.47,2203.71
"M HEALTH FAIRVIEW WOODWINDS HOSPITAL",WOODBURY,MN,5,"MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITHOUT MCC",14255.241379,16457.75,2202.51
"BAYLOR SCOTT & WHITE MEDICAL CENTER  GRAPEVINE",GRAPEVINE,TX,5,"TRANSIENT ISCHEMIA WITHOUT THROMBOLYTIC",5250.969697,7452.97,2202
"MAYO CLINIC HEALTH SYSTEM EAU CLAIRE HOSPITAL","EAU CLAIRE",WI,5,"TRAUMATIC STUPOR AND COMA <1 HOUR WITH CC",10019,12220.79,2201.79
"AVERA ST LUKES",ABERDEEN,SD,5,"INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS",7281.6,9482.39,2200.79
"WELLSPAN EVANGELICAL COMMUNITY HOSPITAL",LEWISBURG,PA,5,"RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC",13786.661765,15986.29,2199.63
"ORLANDO HEALTH ROCKLEDGE HOSPITAL",ROCKLEDGE,FL,5,"KIDNEY AND URINARY TRACT INFECTIONS WITH MCC",7934.1666667,10133.32,2199.15
"UCHEALTH HIGHLANDS RANCH HOSPITAL","HIGHLANDS RANCH",CO,5,"KIDNEY AND URINARY TRACT INFECTIONS WITH MCC",7935.2380952,10133.32,2198.08
"CLEVELAND CLINIC AVON HOSPITAL",AVON,OH,5,"MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM, FLUIDS AND ELECTROLYTES WITHOUT MCC",5128.2571429,7325.93,2197.67
"NEWTON-WELLESLEY HOSPITAL",NEWTON,MA,5,"DISORDERS OF THE BILIARY TRACT WITH MCC",14447.571429,16644.29,2196.71
"WAUKESHA MEMORIAL HOSPITAL",WAUKESHA,WI,5,"GASTROINTESTINAL HEMORRHAGE WITH CC",6728.6808511,8924.72,2196.04
"WAKEMED, CARY HOSPITAL",CARY,NC,5,"SIMPLE PNEUMONIA AND PLEURISY WITH MCC",9330.9454545,11526.67,2195.72
"POUDRE VALLEY HOSPITAL","FORT COLLINS",CO,5,"ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITH MCC",9883.0909091,12078.21,2195.12
"METHODIST HEALTHCARE - OLIVE BRANCH HOSPITAL","OLIVE BRANCH",MS,5,"MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM, FLUIDS AND ELECTROLYTES WITH MCC",9578.4666667,11773.26,2194.79
"MCKAY-DEE HOSPITAL",OGDEN,UT,5,"OTHER CIRCULATORY SYSTEM DIAGNOSES WITH MCC",17303.269231,19497.64,2194.37
"WAUKESHA MEMORIAL HOSPITAL",WAUKESHA,WI,5,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH CC",6282.3333333,8475.85,2193.52
"FORT LOUDOUN MEDICAL CENTER","LENOIR CITY",TN,5,"CELLULITIS WITHOUT MCC",6014.7692308,8207.67,2192.9
"HILLCREST HOSPITAL","MAYFIELD HEIGHTS",OH,5,"CIRCULATORY DISORDERS EXCEPT AMI, WITH CARDIAC CATHETERIZATION WITHOUT MCC",7739.3636364,9931.77,2192.4
"NS/LIJ HS HUNTINGTON HOSPITAL",HUNTINGTON,NY,5,"PERIPHERAL VASCULAR DISORDERS WITH MCC",12686.636364,14878.7,2192.06
"WAUKESHA MEMORIAL HOSPITAL",WAUKESHA,WI,5,"OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH CC",7365.7142857,9556.87,2191.16
"FAIRVIEW HOSPITAL",CLEVELAND,OH,5,"NONSPECIFIC CEREBROVASCULAR DISORDERS WITH CC",7597.7058824,9788.29,2190.59
"INTERMOUNTAIN HEALTH UTAH VALLEY HOSPITAL",PROVO,UT,5,"PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITHOUT MCC",14980.053571,17170.33,2190.28
"MARYMOUNT HOSPITAL","GARFIELD HEIGHTS",OH,5,"MEDICAL BACK PROBLEMS WITHOUT MCC",6725.3333333,8914.74,2189.4
"NORTHSHORE UNIVERSITY HEALTHSYSTEM - EVANSTON HOSPITAL",EVANSTON,IL,5,"ORGANIC DISTURBANCES AND INTELLECTUAL DISABILITY",12659.447368,14848.47,2189.02
"WESTERLY HOSPITAL",WESTERLY,RI,5,"RED BLOOD CELL DISORDERS WITH MCC",10926.615385,13115.62,2189.01
"MAYO CLINIC",JACKSONVILLE,FL,5,"POISONING AND TOXIC EFFECTS OF DRUGS WITH MCC",13452.352941,15641.04,2188.68
"METHODIST HEALTHCARE - OLIVE BRANCH HOSPITAL","OLIVE BRANCH",MS,5,"SIMPLE PNEUMONIA AND PLEURISY WITH MCC",9338,11526.67,2188.67
"ORLANDO HEALTH ROCKLEDGE HOSPITAL",ROCKLEDGE,FL,5,"RED BLOOD CELL DISORDERS WITHOUT MCC",6455.0555556,8642.92,2187.86
"INOVA LOUDOUN HOSPITAL",LEESBURG,VA,5,"LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT C.D.E. WITH CC",12342.5,14529.93,2187.43
"LANCASTER GENERAL HOSPITAL",LANCASTER,PA,5,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH MCC",12054.617647,14240.94,2186.32
"FAIRVIEW HOSPITAL",CLEVELAND,OH,5,"LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT C.D.E. WITH CC",12343.75,14529.93,2186.18
"UNIVERSITY OF KANSAS HOSPITAL","KANSAS CITY",KS,5,"LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT C.D.E. WITH MCC",18785.666667,20971.67,2186
"INOVA FAIR OAKS HOSPITAL",FAIRFAX,VA,5,"DIABETES WITH MCC",10870.578947,13056.04,2185.46
"FRENCH HOSPITAL MEDICAL CENTER","SAN LUIS OBISPO",CA,5,"PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITH MCC OR 4+ ARTERIES O",24935.074074,27120.45,2185.37
"NORTHWESTERN MEDICINE MCHENRY",MCHENRY,IL,5,"DISORDERS OF THE BILIARY TRACT WITH CC",8240.5384615,10423.99,2183.45
"ST FRANCIS HOSPITAL - THE HEART CENTER",ROSLYN,NY,5,"FEVER AND INFLAMMATORY CONDITIONS",7078.7368421,9261.53,2182.79
"OCONOMOWOC MEMORIAL HOSPITAL",OCONOMOWOC,WI,5,"SIMPLE PNEUMONIA AND PLEURISY WITH CC",5420.72,7603.49,2182.77
"SARASOTA MEMORIAL HOSPITAL",SARASOTA,FL,5,"OTHER O.R. PROCEDURES FOR INJURIES WITHOUT CC/MCC",9880.1428571,12062.66,2182.52
"REX HOSPITAL",RALEIGH,NC,5,"CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH MCC",7870.5952381,10052,2181.4
"MEDINA HOSPITAL",MEDINA,OH,5,"MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM, FLUIDS AND ELECTROLYTES WITHOUT MCC",5144.7142857,7325.93,2181.21
"WAKEMED, CARY HOSPITAL",CARY,NC,5,"OTHER DIGESTIVE SYSTEM DIAGNOSES WITH CC",6762.2142857,8942.6,2180.38
"ST LUKES MAGIC VALLEY MEDICAL CENTER","TWIN FALLS",ID,5,"RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC",13806.440678,15986.29,2179.85
"SARASOTA MEMORIAL HOSPITAL",SARASOTA,FL,5,"OTHER DISORDERS OF NERVOUS SYSTEM WITH CC",7710.6619718,9890,2179.34
"ST DAVID'S MEDICAL CENTER",AUSTIN,TX,5,"DIABETES WITH MCC",10877,13056.04,2179.04
"SENTARA MARTHA JEFFERSON HOSPITAL",CHARLOTTESVILLE,VA,5,"MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH MCC",38676.545455,40853.72,2177.18
"MERCYONE DUBUQUE MEDICAL CENTER",DUBUQUE,IA,5,"EXTRACRANIAL PROCEDURES WITHOUT CC/MCC",8003.6363636,10180.77,2177.14
"REX HOSPITAL",RALEIGH,NC,5,"HEART FAILURE AND SHOCK WITH CC",6552.6790123,8728.22,2175.55
"THEDACARE REGIONAL MED CTR - NEENAH",NEENAH,WI,5,"INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS",7307.2105263,9482.39,2175.18
"NS/LIJ HS HUNTINGTON HOSPITAL",HUNTINGTON,NY,5,"DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH MCC",15008.357143,17182.43,2174.08
"NORTHWESTERN MEMORIAL HOSPITAL",CHICAGO,IL,5,"MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH MAJOR O.R. PROCEDUR",28846.75,31019.87,2173.12
"SAINT LUKE'S SOUTH HOSPITAL","OVERLAND PARK",KS,5,"ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITHOUT MCC",5326.8125,7499.89,2173.08
"NORTHWESTERN MEMORIAL HOSPITAL",CHICAGO,IL,5,"OTHER O.R. PROCEDURES FOR INJURIES WITH MCC",40405.206897,42577.66,2172.45
"MASSACHUSETTS GENERAL HOSPITAL",BOSTON,MA,5,"SOFT TISSUE PROCEDURES WITHOUT CC/MCC",17465.066667,19637.4,2172.33
"BAYLOR SCOTT & WHITE MEDICAL CENTER  GRAPEVINE",GRAPEVINE,TX,5,"MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM, FLUIDS AND ELECTROLYTES WITHOUT MCC",5154.3116883,7325.93,2171.62
"MERCYONE DUBUQUE MEDICAL CENTER",DUBUQUE,IA,5,"KIDNEY AND URINARY TRACT INFECTIONS WITH MCC",7962,10133.32,2171.32
"WELLSPAN EVANGELICAL COMMUNITY HOSPITAL",LEWISBURG,PA,5,"KIDNEY AND URINARY TRACT INFECTIONS WITHOUT MCC",5309.5,7480.78,2171.28
"FAIRVIEW HOSPITAL",CLEVELAND,OH,5,"RENAL FAILURE WITH MCC",11052.948276,13222.39,2169.44
"WAUKESHA MEMORIAL HOSPITAL",WAUKESHA,WI,5,"CELLULITIS WITHOUT MCC",6038.40625,8207.67,2169.27
"CLEVELAND CLINIC AVON HOSPITAL",AVON,OH,5,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITHOUT CC/MCC",4483.8181818,6653.05,2169.24
"HOUSTON METHODIST THE WOODLANDS HOSPITAL","THE WOODLANDS",TX,5,"PULMONARY EDEMA AND RESPIRATORY FAILURE",9251.9655172,11421.02,2169.06
"SAINT LUKES NORTH HOSPITAL","KANSAS CITY",MO,5,"HEART FAILURE AND SHOCK WITH CC",6560.25,8728.22,2167.97
"SARASOTA MEMORIAL HOSPITAL",SARASOTA,FL,5,"COMPLICATIONS OF TREATMENT WITH CC",8440,10607.12,2167.12
"BELLEVUE MEDICAL CENTER",BELLEVUE,NE,5,"GASTROINTESTINAL OBSTRUCTION WITH CC",5317.8888889,7484.42,2166.53
"REX HOSPITAL",RALEIGH,NC,5,"OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH CC",7390.7142857,9556.87,2166.16
"BAYLOR SCOTT & WHITE MEDICAL CENTER  GRAPEVINE",GRAPEVINE,TX,5,"HEART FAILURE AND SHOCK WITH CC",6562.5,8728.22,2165.72
"ORLANDO HEALTH ROCKLEDGE HOSPITAL",ROCKLEDGE,FL,5,"RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC",7816,9981.57,2165.57
"BAYLOR SCOTT & WHITE THE HEART HOSPITAL PLANO",PLANO,TX,5,"OTHER CIRCULATORY SYSTEM DIAGNOSES WITH CC",7520.75,9686.01,2165.26
"CHRIST HOSPITAL",CINCINNATI,OH,5,"HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITH MCC",23042.714286,25207.74,2165.02
"UCHEALTH HIGHLANDS RANCH HOSPITAL","HIGHLANDS RANCH",CO,5,"SIMPLE PNEUMONIA AND PLEURISY WITH MCC",9361.74,11526.67,2164.93
"HOUSTON METHODIST THE WOODLANDS HOSPITAL","THE WOODLANDS",TX,5,"BRONCHITIS AND ASTHMA WITH CC/MCC",6911.3333333,9075.1,2163.77
"UCHICAGO MEDICINE ADVENTHEALTH LA GRANGE","LA GRANGE",IL,5,"BRONCHITIS AND ASTHMA WITH CC/MCC",6911.7272727,9075.1,2163.38
"REX HOSPITAL",RALEIGH,NC,5,"CRANIAL AND PERIPHERAL NERVE DISORDERS WITHOUT MCC",8002.0666667,10165.42,2163.36
"NEW ENGLAND BAPTIST HOSPITAL",BOSTON,MA,5,"KNEE PROCEDURES WITH PRINCIPAL DIAGNOSIS OF INFECTION WITH CC",17839.083333,20002.26,2163.18
"UCHICAGO MEDICINE ADVENTHEALTH LA GRANGE","LA GRANGE",IL,5,"CRANIAL AND PERIPHERAL NERVE DISORDERS WITHOUT MCC",8002.3636364,10165.42,2163.06
"ADVENTHEALTH MURRAY",CHATSWORTH,GA,5,"HEART FAILURE AND SHOCK WITH MCC",9386.8,11548.46,2161.66
"PIEDMONT COLUMBUS REGIONAL NORTHSIDE",COLUMBUS,GA,5,"INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS",7320.7619048,9482.39,2161.63
"ST FRANCIS HOSPITAL - THE HEART CENTER",ROSLYN,NY,5,"DIABETES WITH MCC",10894.545455,13056.04,2161.5
"SARASOTA MEMORIAL HOSPITAL",SARASOTA,FL,5,"OTHER CIRCULATORY SYSTEM DIAGNOSES WITH CC",7524.5454545,9686.01,2161.46
"CLEVELAND CLINIC AVON HOSPITAL",AVON,OH,5,"HYPERTENSION WITHOUT MCC",4711.1538462,6872.54,2161.39
"ST FRANCIS HOSPITAL - THE HEART CENTER",ROSLYN,NY,5,"PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH INTRALUMINAL DEVICE WITHOUT MCC",14582.454545,16743.75,2161.3
"NORTHSHORE UNIVERSITY HEALTHSYSTEM - EVANSTON HOSPITAL",EVANSTON,IL,5,"REVISION OF HIP OR KNEE REPLACEMENT WITH CC",27200.111111,29360.4,2160.29
"Adventhealth Zephyrhills",ZEPHYRHILLS,FL,5,"OTHER DIGESTIVE SYSTEM DIAGNOSES WITH CC",6782.4,8942.6,2160.2
"SARASOTA MEMORIAL HOSPITAL",SARASOTA,FL,5,"OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH CC",7396.9157895,9556.87,2159.96
"HOAG MEMORIAL HOSPITAL PRESBYTERIAN","NEWPORT BEACH",CA,5,"DISORDERS OF THE BILIARY TRACT WITH MCC",14485.952381,16644.29,2158.33
"ADVENTHEALTH FISH MEMORIAL","ORANGE CITY",FL,5,"MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM, FLUIDS AND ELECTROLYTES WITHOUT MCC",5168.0769231,7325.93,2157.85
"SCRIPPS MEMORIAL HOSPITAL LA JOLLA","LA JOLLA",CA,5,"SPINAL FUSION EXCEPT CERVICAL WITHOUT MCC",30723.222222,32880.84,2157.62
"BELLIN MEMORIAL HOSPITAL","GREEN BAY",WI,5,"PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITHOUT MCC",15013,17170.33,2157.33
"POUDRE VALLEY HOSPITAL","FORT COLLINS",CO,5,"OTHER DIGESTIVE SYSTEM DIAGNOSES WITH MCC",13494,15650.71,2156.71
"UNIVERSITY OF KANSAS HOSPITAL","KANSAS CITY",KS,5,"DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH CC",8227.4736842,10382.77,2155.3
"WAKEMED, CARY HOSPITAL",CARY,NC,5,"KIDNEY AND URINARY TRACT INFECTIONS WITHOUT MCC",5325.6842105,7480.78,2155.09
"HILLCREST HOSPITAL","MAYFIELD HEIGHTS",OH,5,"KIDNEY AND URINARY TRACT INFECTIONS WITH MCC",7978.5405405,10133.32,2154.78
